@timestamp,@requestId,@duration,@billedDuration,@maxMemoryUsed,@memorySize,@initDuration
2025-12-02 06:01:51.114,5b9ad482-e8ed-4293-b0b9-1714255edd4c,3125.67,3126,98000000,512000000,
2025-12-02 06:01:50.835,75403c4e-661c-412d-b36a-d81257684155,2791.1,2792,97000000,512000000,
2025-12-02 06:01:50.750,b479e4b6-f385-43ee-a0c0-de5ab33b5988,2760.74,2761,98000000,512000000,
2025-12-02 06:01:46.412,2fe3586d-5050-4033-ba93-4890bed77a0b,3048.8,3049,98000000,512000000,
2025-12-02 06:01:45.849,44d0b5e7-d0dd-4845-8697-22288e55ca2b,2709.84,2710,98000000,512000000,
2025-12-02 06:01:45.589,29cb067c-66b4-4d30-9767-8698d936ac05,2736.68,2737,97000000,512000000,
2025-12-02 06:01:45.576,d2236daf-b9a3-4d85-94ae-debd06ddd430,2741.5,2742,97000000,512000000,
2025-12-02 06:01:45.561,d6832bb4-788f-4e75-b65f-60bb194e2c98,2761.02,2762,98000000,512000000,
2025-12-02 06:01:45.548,747b4ba3-8b4f-4ad7-adba-824463d7a099,2732.97,2733,97000000,512000000,
2025-12-02 06:01:45.544,c200067b-7ff2-4492-b1ca-560729d850f5,2744.05,2745,97000000,512000000,
2025-12-02 06:01:45.540,bc8b954e-d228-46ec-b75e-69fd88c72e4f,2743.7,2744,97000000,512000000,
2025-12-02 06:01:45.540,80b311b5-88bb-4d7b-91a7-01fb32d999bd,2690.3,2691,97000000,512000000,
2025-12-02 06:01:45.532,0c1147d9-cd6a-4964-aee3-39b398e350b5,2734.4,2735,98000000,512000000,
2025-12-02 06:01:45.529,d860de33-65e4-4a7e-9ef3-07217b5eedc0,2508.76,2509,98000000,512000000,
2025-12-02 06:01:45.526,53707bf2-53ba-4ca7-8112-7c4a10a5631e,2735.63,2736,97000000,512000000,
2025-12-02 06:01:45.526,888d62a1-1dbe-4b4f-98b7-dd7f05111923,2730.16,2731,98000000,512000000,
2025-12-02 06:01:45.519,843873ab-9b42-4371-9e05-e517c7a6186e,2721.44,2722,98000000,512000000,
2025-12-02 06:01:45.517,7f579418-a474-48c5-b216-f279096b6cd6,2708.94,2709,97000000,512000000,
2025-12-02 06:01:45.516,63284492-09b9-4a04-b300-39f429ebf858,2723.72,2724,98000000,512000000,
2025-12-02 06:01:45.515,4147849d-367c-416f-9025-21f85ef09bcb,2720.47,2721,97000000,512000000,
2025-12-02 06:01:45.503,c1de09b5-3953-453c-9266-78c41f586329,2711.57,2712,98000000,512000000,
2025-12-02 06:01:45.501,10f9fbc1-ba3c-4aec-9a20-06eabe521583,2707.84,2708,97000000,512000000,
2025-12-02 06:01:45.496,e5fd2355-6ac6-4807-9ff9-722d7ac6f5d6,2705.56,2706,98000000,512000000,
2025-12-02 06:01:45.357,dddc87e6-5d4f-4c66-bc80-72c9a1adff90,2512.86,2513,98000000,512000000,
2025-12-02 06:01:45.311,edd0d1b0-22d6-43af-9781-bf747118412c,2526.38,2527,98000000,512000000,
2025-12-02 06:01:45.307,57c337a7-95f6-43d7-9787-9bca0b2136af,2525.76,2526,98000000,512000000,
2025-12-02 06:01:45.280,bf51a963-cf48-4778-a198-633a39ec151c,2501.16,2502,97000000,512000000,
2025-12-02 06:01:45.271,06adac75-0389-4806-a154-58b5b1abc9f4,2185.73,2186,82000000,512000000,
2025-12-02 06:01:45.266,95797269-d27b-42ed-890f-708fafb749b0,2223.05,2224,82000000,512000000,
2025-12-02 06:01:45.006,7e89f6a2-78fc-4169-b6eb-2dd11300cf0f,2227.91,2228,82000000,512000000,
2025-12-02 06:01:44.976,a2c9a497-7489-4ad8-8a3b-d3b54ab7edc4,2188.73,2189,82000000,512000000,
2025-12-02 06:01:44.975,0730d1de-0fb1-4c59-81f3-5c8252c52b49,2190.83,2191,82000000,512000000,
2025-12-02 06:01:44.963,ae4524c3-c597-49c2-98e4-16981146e59e,2177.6,2178,82000000,512000000,
2025-12-02 06:01:44.960,e6a75bcd-cded-4032-941e-18152675970a,2176.28,2177,82000000,512000000,
2025-12-02 06:01:44.840,95b2014f-2743-4cf2-aba7-d547b2565a1c,3048.07,3049,90000000,512000000,
2025-12-02 06:01:44.718,163ee35c-7473-420b-b872-0fb2bc452611,2755.88,2756,97000000,512000000,
2025-12-02 06:01:44.596,c8e7d2e1-1e64-41cf-8188-e2a1588ebaaf,2731.31,2732,98000000,512000000,
2025-12-02 06:01:44.595,3231c001-79fd-4433-9f33-6e0d28473331,2725.55,2726,97000000,512000000,
2025-12-02 06:01:44.588,a66635a3-6b04-4bbe-9a72-bcf80a265cfe,2743.95,2744,97000000,512000000,
2025-12-02 06:01:44.411,05d3c04b-87c0-4033-8bad-c5dc3bb2eb69,2736.18,2737,98000000,512000000,
2025-12-02 06:01:44.396,042cdcc6-fec6-4674-8515-5c98acce1c32,2724.92,2725,97000000,512000000,
2025-12-02 06:01:44.390,ba9958c7-c21b-4607-8a16-cdc536d42326,2717.48,2718,97000000,512000000,
2025-12-02 06:01:44.375,e562852b-f7df-49f1-b495-4027088d15f6,2729.67,2730,98000000,512000000,
2025-12-02 06:01:44.365,6608e056-fd25-4d55-b912-14c3272fff2d,2728.88,2729,98000000,512000000,
2025-12-02 06:01:44.197,81bfb220-e2bb-4b00-a492-b595a73ddefc,2166.73,2167,82000000,512000000,
2025-12-02 06:01:44.123,a70dbc87-4c23-4916-9545-798cce5fd143,2750.18,2751,97000000,512000000,
2025-12-02 06:01:44.094,0f291753-18fd-4516-8e56-2fcdc70a078d,2694.4,2695,97000000,512000000,
2025-12-02 06:01:44.042,32062d94-2774-4c7b-99db-e28033b5bd44,2689.35,2690,97000000,512000000,
2025-12-02 06:01:44.041,e45ceea5-67a2-48e6-8eee-8541984afb9c,3133.5,3134,90000000,512000000,
2025-12-02 06:01:44.026,19da1ecc-6449-447a-bd49-fe83808d2bae,3128.6,3129,90000000,512000000,
2025-12-02 06:01:43.979,a9f853cb-eaf9-4772-9b84-3046846c57f4,3100.48,3101,90000000,512000000,
2025-12-02 06:01:43.943,2fce5237-9c4f-4374-bb90-060be013834e,3146.18,3147,90000000,512000000,
2025-12-02 06:01:43.942,e25a651b-1e6f-4ae1-aad5-cb71be0f88f5,3143.54,3144,90000000,512000000,
